Hogar;Vehiculo;TipoVeh;MarcaVeh;ModeloVeh;AnoVeh;EdadVehiculo;CilindradaVeh;Combustible;SelloVerde;Propiedad
113091;11309101;1;0;GAUDER;1998;4;1200;1;2;1
113161;11316101;1;61;V16;1997;4;1600;1;2;1
113161;11316102;1;61;V16;1998;4;1600;1;2;1
113201;11320101;1;0;SANTANO;2000;4;1800;1;2;1
113211;11321101;5;45;BLAZIER;2004;3;1800;1;2;1
113221;11322101;1;17;OPTRA;2006;3;1800;1;2;1
113331;11333101;1;17;SPERK;2012;1;1500;1;2;1
113331;11333102;3;86;4X4;2012;1;1800;2;2;1
113401;11340101;1;17;AVEO;2011;1;1500;1;2;1
113421;11342101;1;84;MARUTTI;2011;1;1100;1;2;1
113481;11348102;1;86;YARIS;2010;1;1500;1;2;1
113481;11348101;1;37;ACCENT;2010;1;1400;1;2;1
113511;11351101;1;0;CIVIC;2000;4;1500;1;2;1
