Persona;Edad
10536004;27
10536005;43
10536006;57
10537101;52
10537102;50
10538101;54
10538102;51
10538103;27
10538104;6
10539101;45
10540101;42
10540102;47
10540103;11
10540104;11
10540105;5
10541001;18
10541002;25
10542101;75
10542102;75
10542103;47
10542104;22
10543101;56
10544101;45
10544102;46
10545001;67
10545002;59
10545003;33
10545004;26
10545005;33
10545006;7
10545007;2
10547001;22
10548101;62
10548102;54
10549101;48
10549102;13
10549103;7
10550001;82
10550002;50
10550003;25
10551101;55
10551102;55
10551103;33
10552101;42
10552102;43
10552103;18
10553101;66
10553102;34
10554101;36
10554102;78
10554103;15
10554104;12
10555101;47
10555102;16
10555103;6
10555104;50
10556101;64
10556102;62
10556103;34
10556104;36
10556105;3
10557001;72
10557002;70
10558101;50
10558102;42
10558103;20
10559101;50
10559102;47
10559103;11
10560001;64
10560002;61
10560003;19
10560004;38
10560005;13
10560006;12
10560007;41
10560008;13
10561101;37
10561102;39
10561103;17
10561104;9
10562101;59
10562102;56
10562103;24
10562104;25
10562105;4
10563101;52
10563102;33
10563103;42
10564101;49
10564102;60
10564103;43
10564104;28
10565101;50
10566101;34
10566102;28
10566103;9
10566104;4
10567001;64
10568001;61
10568002;60
10568003;28
10569101;77
10569102;84
10570201;59
10570202;54
10571101;71
10571102;31
10572201;66
10572202;66
10573101;30
10573102;37
10573103;5
10574001;43
10574002;50
10574003;18
10575101;68
10576201;31
10576202;10
10576203;7
10577101;50
10577102;55
10577103;78
10577104;17
10578101;65
10578102;55
10578103;28
10578104;27
10578105;24
10578106;23
10578107;20
10578108;4
10579101;67
10579102;57
10579103;39
10580001;60
10580002;70
10580003;19
10581101;79
10581102;42
10581103;40
10581104;24
10581105;16
10581106;3
10582101;82
10582102;60
10582103;59
10582104;19
10583101;57
10583102;37
10584301;50
10584302;18
10585201;68
10586101;41
10586102;41
10586103;32
10587101;57
10587102;55
10587103;27
10588101;54
10589001;36
10590101;53
10590102;51
10590103;8
10591101;44
10591102;43
10591103;84
10591104;16
10591105;19
10592101;26
10592102;26
10592103;2
10592104;0
10593101;67
10593102;67
10594101;51
10594102;20
10594103;19
10595101;64
10595102;62
10595103;12
10596001;46
10596002;42
10596003;20
10596004;22
10597101;80
10597102;44
10597103;25
10597104;25
10597105;6
10598101;85
10599101;56
10599102;55
10599103;38
10599104;37
10600101;42
10600102;18
10600103;14
10601101;31
10601102;36
10601103;8
10601104;33
10602101;84
10602102;45
10602103;48
10603101;45
10603102;3
10603103;22
10603104;28
10603105;66
10604101;32
10604102;31
10604103;16
10604104;6
10605101;63
10605102;63
10605103;30
10605104;28
10605105;51
10605106;3
10606101;75
10606102;70
10607101;49
10607102;51
10608101;89
10609101;58
10609102;54
10609103;21
10610101;61
10610102;62
10611101;59
10611102;57
10611103;38
10611104;4
10611105;26
10611106;26
10611107;3
10612101;51
10612102;85
10613101;65
10613102;62
10613103;40
10614101;58
10614102;37
10615301;30
10616101;72
10616102;46
10617101;57
10617102;44
10618001;61
10618002;57
10618003;30
10618004;27
10619101;67
10619102;36
10619103;46
10620301;55
10620302;53
10621101;50
10621102;77
10621103;83
10622301;48
10622302;43
10622303;23
10622304;22
10622305;19
10622306;10
10623101;63
10623102;65
10623103;33
10624101;55
10624102;46
10624103;52
10625101;47
10625102;49
10625103;17
10626101;41
10626102;21
10626103;18
10626104;11
10627101;57
10627102;14
10627103;10
10627104;31
10628101;76
10628102;84
10628103;38
10628104;40
10628105;16
10629101;44
10629102;41
10629103;12
10629104;22
10630101;77
10630102;73
10631001;70
10631002;39
10632201;62
10632202;56
10633101;69
10633102;41
10633103;17
10633104;43
10634101;44
10634102;21
10634103;10
10634104;8
10635101;68
10635102;75
10636101;76
10636102;50
10636103;46
10637101;68
10637102;67
10637103;40
10637104;35
10637105;37
10637106;7
10638001;65
10638002;65
10639101;46
10639102;53
10639103;24
10640101;74
10640102;77
10641101;55
10641102;59
10641103;24
10642101;41
10642102;43
10642103;20
10642104;13
10643001;49
10643002;43
10643003;19
10643004;18
10643005;17
10644101;62
10644102;24
10644103;17
10645101;38
10645102;38
10645103;19
10645104;2
10646001;48
10646002;78
10646003;35
10646004;17
10646005;16
10646006;14
10646007;11
10647001;72
10647002;69
10647003;39
10647004;11
10647005;4
10647006;0
10648101;36
10648102;43
10648103;68
10648104;23
10649101;64
10649102;41
10649103;20
10650101;79
10650102;36
10650103;3
10651101;26
10651102;30
10651103;10
10651104;3
10651105;0
10652101;46
10652102;52
10652103;15
10652104;13
10652105;12
10653101;72
10654101;40
10654102;51
10654103;29
10654104;33
10654105;4
10655201;49
10655202;37
10655203;18
10655204;12
10656101;68
10656102;56
10657101;60
10658101;40
10658102;24
10658103;8
10659001;77
10660101;65
10660102;63
10660103;27
10660104;29
10660105;5
10661001;63
10661002;34
10661003;37
10661004;7
10662101;78
10663101;74
10663102;73
10663103;50
10664001;56
10664002;16
10665101;62
10665102;42
10665103;23
10665104;10
10665105;4
10666101;66
10666102;75
10667101;93
10667102;71
10667103;67
10667104;69
10669101;40
10669102;40
10669103;18
10669104;14
10670101;65
10670102;67
10670103;14
10671101;61
10672101;49
10672102;41
10672103;4
10672104;18
10673101;80
10673102;57
10673103;22
10673104;20
10673105;0
10674101;49
10675101;54
10675102;50
10675103;12
10675104;83
10676101;42
10676102;41
10676103;21
10676104;19
10676105;17
10676106;7
10676107;3
10677101;72
10677102;42
10678001;61
10678002;56
10678003;28
10678004;17
10678005;10
10678006;7
10679101;67
10679102;36
10680101;68
10680102;34
10680103;38
10680104;14
10680105;10
10681101;64
10681102;68
10681103;31
10682101;49
10682102;52
10682103;30
10682104;26
10683201;80
10683202;86
10684101;34
10684102;27
10684103;6
10684104;2
10685101;42
10685102;19
10686201;70
10686202;74
10687101;35
10687102;35
10687103;15
10687104;8
10688101;31
10688102;36
10688103;14
10689101;65
10689102;67
10690101;77
10690102;74
10690103;41
10690104;23
10690105;8
10691101;29
10691102;40
10691103;6
10691104;0
10692001;62
10692002;43
10693201;63
10693202;30
10693203;41
10694101;31
10694102;32
10694103;14
10694104;7
10694105;5
10695101;53
10696101;53
10696102;30
10696103;11
10696104;4
10697101;48
10697102;84
10698101;60
10698102;5
10699101;69
10699102;30
10699103;20
10700101;43
10700102;37
10700103;19
10700104;37
10701101;59
10701102;34
10701103;29
10702001;59
10702002;57
10702003;30
10702004;21
10702005;22
10703101;32
10703102;10
10703103;6
10703104;14
10704101;39
10704102;8
10704103;10
10704104;34
10705101;41
10705102;25
10706101;51
10707101;53
10707102;41
10707103;21
10707104;12
10707105;15
10708001;48
10708002;28
10708003;73
10709101;67
10709102;81
10710101;29
10710102;12
10710103;4
10711001;78
10711002;56
10711003;19
10712101;63
10712102;65
10712103;38
10712104;30
10713101;86
10713102;51
10713103;49
10714101;71
10714102;40
10715001;46
10715002;41
10715003;19
10715004;18
10715005;72
10716101;80
10717001;61
10717002;21
10717003;7
10717004;4
10718101;83
10718102;56
10718103;22
10719101;38
10719102;43
10719103;19
10719104;17
10719105;10
10720101;55
10720102;40
10721101;61
10721102;58
10722101;45
10722102;46
10722103;25
10722104;24
10723101;84
10723102;74
10723103;37
10723104;42
10723105;42
10724201;46
10724202;28
10724203;19
