REGION;PROVINCIA;COMUNA;DC;AREA;ZONA;NOM_URBANO;CAT;REGION_15R;PROVINCIA_15R;COMUNA_15R
13;131;13125;2;1;12;QULICURA;1;13;131;13125
13;131;13125;2;1;13;QULICURA;1;13;131;13125
13;131;13125;2;1;14;QULICURA;1;13;131;13125
13;131;13125;2;1;15;QULICURA;1;13;131;13125
13;131;13125;2;1;16;QULICURA;1;13;131;13125
13;131;13125;2;1;17;QULICURA;1;13;131;13125
13;131;13125;2;1;18;QULICURA;1;13;131;13125
13;131;13125;2;1;19;QULICURA;1;13;131;13125
13;131;13125;2;1;20;QULICURA;1;13;131;13125
13;131;13125;2;1;21;QULICURA;1;13;131;13125
13;131;13125;3;1;1;QULICURA;1;13;131;13125
13;131;13125;4;1;1;QULICURA;1;13;131;13125
13;131;13125;4;1;2;QULICURA;1;13;131;13125
13;131;13125;4;1;3;QULICURA;1;13;131;13125
13;131;13125;4;1;4;QULICURA;1;13;131;13125
13;131;13125;4;1;5;QULICURA;1;13;131;13125
13;131;13125;4;1;6;QULICURA;1;13;131;13125
13;131;13125;4;1;7;QULICURA;1;13;131;13125
13;131;13125;4;1;8;QULICURA;1;13;131;13125
13;131;13125;4;1;9;QULICURA;1;13;131;13125
13;131;13125;4;1;10;QULICURA;1;13;131;13125
13;131;13125;4;1;11;QULICURA;1;13;131;13125
13;131;13125;4;1;12;QULICURA;1;13;131;13125
13;131;13125;4;1;13;QULICURA;1;13;131;13125
13;131;13125;4;1;14;QULICURA;1;13;131;13125
13;131;13125;4;1;15;QULICURA;1;13;131;13125
13;131;13126;1;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;1;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;1;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;4;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;5;QUINTA NORMAL;1;13;131;13126
13;131;13126;2;1;6;QUINTA NORMAL;1;13;131;13126
13;131;13126;3;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;3;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;3;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;4;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;4;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;5;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;5;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;6;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;6;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;6;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;6;1;4;QUINTA NORMAL;1;13;131;13126
13;131;13126;7;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;7;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;8;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;8;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;8;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;9;1;1;QUINTA NORMAL;1;13;131;13126
13;131;13126;9;1;2;QUINTA NORMAL;1;13;131;13126
13;131;13126;9;1;3;QUINTA NORMAL;1;13;131;13126
13;131;13126;9;1;4;QUINTA NORMAL;1;13;131;13126
13;131;13127;1;1;1;RECOLETA;1;13;131;13127
13;131;13127;1;1;2;RECOLETA;1;13;131;13127
13;131;13127;2;1;1;RECOLETA;1;13;131;13127
13;131;13127;2;1;2;RECOLETA;1;13;131;13127
13;131;13127;2;1;3;RECOLETA;1;13;131;13127
13;131;13127;2;1;4;RECOLETA;1;13;131;13127
13;131;13127;3;1;1;RECOLETA;1;13;131;13127
13;131;13127;3;1;2;RECOLETA;1;13;131;13127
13;131;13127;4;1;1;RECOLETA;1;13;131;13127
13;131;13127;4;1;2;RECOLETA;1;13;131;13127
13;131;13127;4;1;3;RECOLETA;1;13;131;13127
13;131;13127;4;1;4;RECOLETA;1;13;131;13127
13;131;13127;5;1;1;RECOLETA;1;13;131;13127
13;131;13127;5;1;2;RECOLETA;1;13;131;13127
13;131;13127;5;1;3;RECOLETA;1;13;131;13127
13;131;13127;6;1;1;RECOLETA;1;13;131;13127
13;131;13127;6;1;2;RECOLETA;1;13;131;13127
13;131;13127;6;1;3;RECOLETA;1;13;131;13127
13;131;13127;6;1;4;RECOLETA;1;13;131;13127
13;131;13127;6;1;5;RECOLETA;1;13;131;13127
13;131;13127;6;1;6;RECOLETA;1;13;131;13127
13;131;13127;6;1;7;RECOLETA;1;13;131;13127
13;131;13127;7;1;1;RECOLETA;1;13;131;13127
13;131;13127;7;1;2;RECOLETA;1;13;131;13127
13;131;13127;7;1;3;RECOLETA;1;13;131;13127
13;131;13127;7;1;4;RECOLETA;1;13;131;13127
13;131;13127;8;1;1;RECOLETA;1;13;131;13127
